Questions,Answers
I'm just being silly,Got it.
I'm just foolin,Got it.
I'm just fooling,Got it.
I'm just joking around,Got it.
I'm just kidding around,Got it.
I'm just messing with you,Got it.
I'm just playing ,Got it.
I'm not serious,Got it.
It was just a joke,Got it.
It was just a little joke,Got it.
Joke's on you ,Got it.
Just joshing around,Got it.
Just kidding ,Got it.
Just messing around,Got it.
Just playing,Got it.
Just playing with you,Got it.
All my friends are gone,I'm here if you need me.
All my friends left,I'm here if you need me.
All my friends left me,I'm here if you need me.
How can I make friends?,I'm here if you need me.
How do I make friends?,I'm here if you need me.
I am alone,I'm here if you need me.
I am so alone,I'm here if you need me.
I don't have a single friend in the world,I'm here if you need me.
I don't have any friends,I'm here if you need me.
I feel abandoned,I'm here if you need me.
I feel like I'm all by myself,I'm here if you need me.
I feel so alone,I'm here if you need me.
I feel so isolated,I'm here if you need me.
I feel very alone,I'm here if you need me.
I have a problem feeling all alone,I'm here if you need me.
I have a problem with feeling lonely,I'm here if you need me.
I have no friends,I'm here if you need me.
I live a lonely life,I'm here if you need me.
I live a very lonely life,I'm here if you need me.
I need a friend,I'm here if you need me.
I need someone to talk to,I'm here if you need me.
I want someone to love,I'm here if you need me.
I want someone to talk to ,I'm here if you need me.
I wish I had a friend,I'm here if you need me.
I wish I weren't so alone,I'm here if you need me.
If only I had a friend,I'm here if you need me.
I'm a lonely gal,I'm here if you need me.
I'm a lonely girl,I'm here if you need me.
I'm a lonely guy,I'm here if you need me.
I'm a lonely person,I'm here if you need me.
I'm all alone,I'm here if you need me.
I'm feeling a little alone today,I'm here if you need me.
I'm friendless,I'm here if you need me.
I'm lonely,I'm here if you need me.
I'm so alone,I'm here if you need me.
I'm so lonely,I'm here if you need me.
I'm totally isolated,I'm here if you need me.
It's a cruel world and I'm lonely,I'm here if you need me.
No one cares about me,I'm here if you need me.
No one ever thinks about me,I'm here if you need me.
No one gives a crap about me,I'm here if you need me.
No one thinks about me,I'm here if you need me.
Nobody cares about me,I'm here if you need me.
Nobody likes me,I'm here if you need me.
Sometimes I feel blue and alone,I'm here if you need me.
Sometimes I feel isolated,I'm here if you need me.
Sometimes I feel lonely,I'm here if you need me.
Sometimes I feel sad and lonely,I'm here if you need me.
The world is a lonely place,I'm here if you need me.
What happened to all my friends? ,I'm here if you need me.
Where did all my friends go? ,I'm here if you need me.
Why can't I make any friends?,I'm here if you need me.
Why don't I have any friends? ,I'm here if you need me.
I love a challenge,It's nice to have things you love.
I love a good book,It's nice to have things you love.
I love a good conversation,It's nice to have things you love.
I love a spirited debate,It's nice to have things you love.
I love America,It's nice to have things you love.
I love amusement parks,It's nice to have things you love.
I love ballroom dancing,It's nice to have things you love.
I love board games,It's nice to have things you love.
I love brunch,It's nice to have things you love.
I love Canada,It's nice to have things you love.
I love cats,It's nice to have things you love.
I love Cheers,It's nice to have things you love.
I love cheese,It's nice to have things you love.
I love Christmas,It's nice to have things you love.
I love coffee,It's nice to have things you love.
I love collecting things,It's nice to have things you love.
I love comedy,It's nice to have things you love.
I love comic con,It's nice to have things you love.
I love country music,It's nice to have things you love.
I love crossword puzzles,It's nice to have things you love.
I love disney movies,It's nice to have things you love.
I love dogs,It's nice to have things you love.
I love driving my car,It's nice to have things you love.
I love Easter,It's nice to have things you love.
I love Facebook,It's nice to have things you love.
I love football,It's nice to have things you love.
I love free speech,It's nice to have things you love.
I love fresh bread,It's nice to have things you love.
I love fresh flowers,It's nice to have things you love.
I love fresh fruit,It's nice to have things you love.
I love Friends,It's nice to have things you love.
I love Game of Thrones,It's nice to have things you love.
I love getting valentines,It's nice to have things you love.
I love going to church,It's nice to have things you love.
I love going to the movies,It's nice to have things you love.
I love gossip,It's nice to have things you love.
I love Halloween,It's nice to have things you love.
I love Harry Potter,It's nice to have things you love.
I love Hawaii,It's nice to have things you love.
I love HBO,It's nice to have things you love.
I love horror movies,It's nice to have things you love.
I love Hulu,It's nice to have things you love.
I love Ichiro Suzuki,It's nice to have things you love.
I love James Bond,It's nice to have things you love.
I love Jeopardy,It's nice to have things you love.
I love ladies night,It's nice to have things you love.
I love lamp,It's nice to have things you love.
I love life,It's nice to have things you love.
I love March Madness,It's nice to have things you love.
I love Marvel movies,It's nice to have things you love.
I love music,It's nice to have things you love.
I love my alma mater,It's nice to have things you love.
I love my car,It's nice to have things you love.
I love my cat,It's nice to have things you love.
I love my dog,It's nice to have things you love.
I love my family,It's nice to have things you love.
I love my girlfriend,It's nice to have things you love.
I love my grandfather,It's nice to have things you love.
I love my grandmother,It's nice to have things you love.
I love my haircut,It's nice to have things you love.
I love my hometown,It's nice to have things you love.
I love my house,It's nice to have things you love.
I love my house plants,It's nice to have things you love.
I love my job,It's nice to have things you love.
I love my kids,It's nice to have things you love.
I love my new car,It's nice to have things you love.
I love my new shoes,It's nice to have things you love.
I love my pet,It's nice to have things you love.
I love my record collection,It's nice to have things you love.
I love my tattoos,It's nice to have things you love.
I love mysteries,It's nice to have things you love.
I love Netflix,It's nice to have things you love.
I love New York,It's nice to have things you love.
I love New Zealand,It's nice to have things you love.
I love pizza,It's nice to have things you love.
I love podcasts,It's nice to have things you love.
I love politics,It's nice to have things you love.
I love pumpkin pie,It's nice to have things you love.
I love puzzles,It's nice to have things you love.
I love rap,It's nice to have things you love.
I love rock climbing,It's nice to have things you love.
I love sailing,It's nice to have things you love.
I love science fiction,It's nice to have things you love.
I love Star Trek,It's nice to have things you love.
I love Star Wars,It's nice to have things you love.
I love Stephen King,It's nice to have things you love.
I love stuffed animals,It's nice to have things you love.
I love Super Bowl Sunday,It's nice to have things you love.
I love taking baths,It's nice to have things you love.
I love talk shows,It's nice to have things you love.
I love the constitution,It's nice to have things you love.
I love the fall,It's nice to have things you love.
I love the holiday seasons,It's nice to have things you love.
I love the holidays,It's nice to have things you love.
I love the New York Times,It's nice to have things you love.
I love the smell of fresh baked bread,It's nice to have things you love.
I love the smell of the rain,It's nice to have things you love.
I love the spring,It's nice to have things you love.
I love the summer,It's nice to have things you love.
I love the winter,It's nice to have things you love.
I love the Yankees,It's nice to have things you love.
I love the zoo,It's nice to have things you love.
I love to barbecue,It's nice to have things you love.
I love to be surprised,It's nice to have things you love.
I love to collect comic books,It's nice to have things you love.
I love to cook,It's nice to have things you love.
I love to dance,It's nice to have things you love.
I love to do laundry,It's nice to have things you love.
I love to do yoga,It's nice to have things you love.
I love to draw,It's nice to have things you love.
I love to drink beer,It's nice to have things you love.
I love to drink tea,It's nice to have things you love.
I love to drink wine,It's nice to have things you love.
I love to eat breakfast,It's nice to have things you love.
I love to eat burgers,It's nice to have things you love.
I love to exercise,It's nice to have things you love.
I love to fold clothing,It's nice to have things you love.
I love to go shopping,It's nice to have things you love.
I love to go to concerts,It's nice to have things you love.
I love to go to the theater,It's nice to have things you love.
I love to hike,It's nice to have things you love.
I love to laugh,It's nice to have things you love.
I love to learn new things,It's nice to have things you love.
I love to make art,It's nice to have things you love.
I love to meditate,It's nice to have things you love.
